seller_active_quarter,year,quarter,seller_id,is_churn,n_orders,n_approved_orders,n_delivered_carrier,n_orders_late_to_carrier,n_delivered_customers,sales,n_orders_late_to_customer,median_approve_time,median_review_score,tenure_months,last_month_active_quarter,n_months_active_quarter,seller_city,seller_state
2018Q2,2018,2,seller_1115,,11,11,12,0,14,6299.2,1,48.96666666666667,5.0,10,2,2,sao paulo,SP
2018Q2,2018,2,seller_2680,,40,41,41,1,40,3602.0,5,20.216666666666665,5.0,13,3,3,itapecerica da serra,SP
2018Q2,2018,2,seller_1440,,4,4,4,0,4,492.7,0,836.725,5.0,2,3,2,estancia velha,RS
2018Q2,2018,2,seller_3063,,10,10,10,0,11,277.8,1,23.625,5.0,10,3,3,belo horizonte,MG
2018Q2,2018,2,seller_724,,79,79,82,0,87,4733.65,12,29.933333333333334,5.0,9,3,3,sao bernardo do campo,SP
2018Q2,2018,2,seller_2930,,12,12,12,0,13,433.02,1,38.391666666666666,5.0,12,3,3,cotia,SP
2018Q2,2018,2,seller_1006,,18,18,18,0,18,3363.7000000000003,2,24.6,5.0,11,3,3,sao paulo,SP
2018Q2,2018,2,seller_1670,,8,8,8,1,8,891.0,1,327.3666666666667,4.0,5,3,3,sao paulo,SP
2018Q2,2018,2,seller_287,,75,75,79,0,84,4104.11,4,26.666666666666668,5.0,9,3,3,vicente de carvalho,SP
2018Q2,2018,2,seller_2602,,19,19,19,0,17,18311.6,0,388.21666666666664,5.0,8,3,3,londrina,PR
2018Q2,2018,2,seller_279,,53,53,50,0,46,4408.19,3,25.116666666666667,5.0,2,3,2,rio de janeiro,RJ
2018Q2,2018,2,seller_894,,2,2,2,0,2,199.8,0,3815.025,5.0,1,3,1,taboao da serra,SP
2018Q2,2018,2,seller_1465,,24,24,21,8,18,2448.4,0,25.525,5.0,4,3,2,foz do iguacu,PR
2018Q2,2018,2,seller_2267,,91,91,89,0,107,12359.9,15,28.233333333333334,4.0,9,3,3,ibitinga,SP
2018Q2,2018,2,seller_765,,24,24,26,0,30,37669.5,2,22.241666666666667,5.0,5,3,3,guarulhos,SP
2018Q2,2018,2,seller_2635,,48,48,49,1,51,2122.9900000000002,3,27.0,5.0,11,3,3,belo horizonte,MG
2018Q2,2018,2,seller_1856,,6,6,6,1,6,463.93,1,1611.9666666666667,5.0,4,3,3,sao paulo,SP
2018Q2,2018,2,seller_549,,30,30,29,0,26,2916.4,0,24.858333333333334,5.0,5,3,3,belo horizonte,SP
2018Q2,2018,2,seller_2802,,10,10,10,0,12,1447.8000000000002,3,79.98333333333333,5.0,15,3,3,ribeirao preto,SP
2018Q2,2018,2,seller_1727,,16,16,17,4,17,11468.98,5,671.4416666666667,4.0,4,3,3,presidente prudente,SP
2018Q2,2018,2,seller_1132,,56,55,55,0,55,4647.66,2,27.966666666666665,5.0,15,3,3,borda da mata,MG
2018Q2,2018,2,seller_1911,,20,21,23,2,24,934.74,7,223.81666666666666,5.0,16,3,3,indaiatuba,SP
