seller_active_quarter,year,quarter,seller_id,is_churn,n_orders,n_approved_orders,n_delivered_carrier,n_orders_late_to_carrier,n_delivered_customers,sales,n_orders_late_to_customer,median_approve_time,median_review_score,tenure_months,last_month_active_quarter,n_months_active_quarter,seller_city,seller_state
2017Q2,2017,2,seller_2611,True,1,1,1,0,1,289.9,0,9.55,5.0,2,2,1,porto ferreira,SP
2017Q1,2017,1,seller_840,True,1,1,0,0,0,0.0,0,642.45,0.0,2,1,1,sao caetano do sul,SP
2018Q1,2018,1,seller_2821,True,1,1,2,0,2,60.0,0,2030.8833333333334,4.5,2,1,1,itapema,SC
2017Q2,2017,2,seller_1018,True,1,1,1,0,1,389.99,0,2537.266666666667,5.0,1,1,1,sao paulo,SP
2017Q4,2017,4,seller_2748,False,1,1,1,0,1,190.0,0,13.566666666666666,5.0,1,3,1,itajai,SC
2017Q2,2017,2,seller_1349,True,1,1,1,0,1,38.2,0,16.316666666666666,5.0,1,3,1,sao paulo,SP
2017Q4,2017,4,seller_1340,True,1,1,1,0,1,998.0,0,186.8,1.0,1,2,1,florianopolis,SC
2017Q3,2017,3,seller_1676,False,1,1,1,0,0,0.0,0,16.55,0.0,1,3,1,recife,PE
2018Q1,2018,1,seller_1510,False,1,1,1,0,1,672.22,0,1441.9166666666667,1.0,1,3,1,sao jose dos campos,SP
2017Q1,2017,1,seller_1414,False,1,1,1,0,1,74.6,0,0.0,4.0,1,3,1,betim,MG
2018Q1,2018,1,seller_952,False,1,1,1,0,1,83.99,0,12.583333333333334,1.0,1,3,1,sao paulo,SP
2017Q4,2017,4,seller_3061,False,1,1,1,1,1,26.0,1,4000.1833333333334,4.0,4,2,1,sao paulo,SP
2017Q2,2017,2,seller_1228,True,1,1,1,0,1,858.0,0,1436.0166666666667,5.0,1,1,1,mandaguari,PR
2018Q1,2018,1,seller_2194,False,2,2,2,0,2,79.98,1,905.85,3.5,5,2,2,sao paulo,SP
2018Q1,2018,1,seller_1047,True,1,1,1,0,1,360.8,0,2712.366666666667,5.0,2,1,1,aracaju,SE
2017Q1,2017,1,seller_2295,True,1,1,0,0,0,0.0,0,7.933333333333334,0.0,1,3,1,sao paulo,SP
